ID,Why_1,Why_2,Why_3,Why_4,Why_5,What_1,What_2,What_3,What_4,What_5,Question_1,Question_2,Question_3,Question_4,Question_5,Rater_1,Rater_2,Rater_Match,
104,This can inform  education systems to offer more computing classes for middle and high school age students.,It would be interesting to know the barrier for students advancing to upper level courses.,I want to know what skills are necessary in the workplace but are not taught in 4 year degree programs. ,I want to know this because many undergraduate programs do not have computing requirements but research in the field requires it. ,"I have taken courses with interactive textbooks and with videos. I learn best through video examples, but I am interested if there is a general trend. ",Try to develop modules for teaching computing to middle and high schoolers.,Evaluate the course where most students leave the track and make changes for student retention. ,Add courses on these real life problems or incorporate the problems as labs in existing courses. ,Add computing class requirements to undergraduate curriculum in the fields that rely heavily on computing. ,Implement more of the preferred learning style into computing courses.,Does taking a computing course in middle or high school increase the probability students will take a computing class in college?,How many students take each level of a college computing curriculum. ,What is the most important thing that students finishing a four-year degree still don't understand about computing?,Which graduate study fields rely heavily on computing?,Are videos with live coding or interactive live coding textbooks more successful teaching methods. ,2,2,TRUE,
105,"Understanding how students learn, what they find difficult, and how the order in which they grasp concepts helps or hinders their learning is fundamental to building a theory of learning in computing and to improving how we teach.","The number of students in computing constantly increases, especially at university level. As a result, we're no longer able to provide the level of individual interaction and feedback that is required for good in-depth learning of programming. Automated assessment has been explored for more than two decades, and can help address these issues. However, to date the feedback provided by automated assessment systems in computing is still of comparatively low quality. As a result, these systems are more helpful for summative assessment than for formative assessment for learning.","There is a good amount of literature on teaching programming, but it is still fairly heterogeneous and disintegrated. As a result, it is difficult to transfer insights from one context to another and, thus, to improve the teaching and learning of computing at scale. Does everyone have to reinvent how to teach programming in their local context or can we identify global best practice that can be easily reused by teachers everywhere? What are the contextual factors that require course contents, structure, materials etc. to be adapted?",0,0,"If we understand the order in which students best learn programming concepts and the alternative pathways they may take, we can use this to inform curriculum design, pedagogy, and didactic approaches.","Improve existing automated assessment systems and, thereby, student learning.",Reuse the catalogue of best-practice teaching in my own teaching,0,0,"How do students best learn programming concepts over time? How is this sequence affected by student background, pedagogy, didactic approach, etc?","Given we require computing education at large, how can we effectively use automation to provide good and helpful feedback that improves student learning?",Is there a single best way of teaching programming or what are the contextual factors influencing the efficiency and effectiveness of any one approach to teaching programming?,0,0,2,2,TRUE,
106,"There is no perfect programming language for GCSE Computer Science, but I'd like to use the one which is most accessible to students","Professional API references include the term 'expression' a lot.  It seems to be absent from GCSE specifications, but I suspect it is the key to understanding execution of nested commands/operators",There seem to be a huge range of difficulties faced by different teachers and schools,0,0,Re-evaluate the language I use to teach GCSE Computer Science,Adapt the scheme of work to explicitly include 'expression' as a concept as early as possible.,Try to develop applications/tools which get around these technical difficulties,0,0,"How does programming language syntax (e.g. brackets, splitting commands across lines) affect accessibility for students with dyslexia",Is 'expression' a threshold concept?,What technical difficulties to teachers/schools face when trying to get IDEs/tools installed for students?,0,0,2,2,TRUE,
107,It would improve my classes if I can motivate more students,It would improve the accessibility of the course content and reach more students in the best way,Assessment can be positive (feedback) and negative (high pressure),0,0,Try to implement it in my large courses,Try to implement it in my courses,Try to balance the amount of assessment,0,0,How can we motivate students to participate in exercises in large courses?,How can we adapt the course content to students based on their experiences so that the difficulty level and learning experience is balanced?,How much assessment do we need?,0,0,2,2,TRUE,
108,Because I teach in short-term settings and want my students to really learn things,I do one or the other and I'm not really sure how I feel about them,0,0,0,"Use it as evidence for or against my team's current methodology, and/or use it to improve tweak our current methodology","Use it as evidence for or against my team's current methodology, and/or use it to improve tweak our current methodology",0,0,0,Do boot camp-style multi-day or multi-week offerings lead to positive learning outcomes?,"Should educators use carefully crafted computing environments to teach or make students manage their own, i.e., does lots of setup make it harder to learn or get learning or does not dealing with setup leave the students helpless to learn after the course",0,0,0,1,2,FALSE,
109,"With the large number of programming languages available how do I know I am teaching them the ""right"" one?",0,0,0,0,Evaluate the effectiveness of my CS program.,0,0,0,0,How do you decided what language to teach?,0,0,0,0,1,1,TRUE,
110,Because I would be sure that this kind of tools help them in their learning ,Because  I will be sure that including a couple of sessions with Alice will help my students  to understand Object Orientation,Because  It would give me a new way to set my laboratory sessions ,0,0,"I  would ask them to solve as much as possible  exercises   for each outcome (assigments, loops, conditions, arrays, ) and I could include those exercises in the grades.",I would include some session where they explore Alice and then  ask them about Object Oriented concepts,I would set some sessions where students work alone and some other sessions   I would ask the work in pairs. ,0,0,Does tools like CodingBat help students to improve their programming Learning,Does Alice help students to understand Object Oriented Concepts  in a CS2 course,Does pair review  works for a CS1 course  when students are just starting to write and understand code?,0,0,2,2,TRUE,
111,the NC suggests giving children experience of diff languages but I see the strugglers finding a new language distracts them from concepts (concepts = loops or conditionals for example),i think drama helps children to understand what is happening in the coding and makes them think about sequence etc but that is just my observation. with evidence it could be introduced across school,maybe its better to get the children 'doing' these things even if they dont recognise the names of them or maybe for some children its better to be totally explicit and revisit what these words mean separately to using/ asking them to use the ideas in coding activities ,"children who struggle to spot patterns- is it because they haven't been asked to at home via games, teasing, chat etc. have they missed out intellectually . can school make that up with explicit lessons in ways of thinking and analysing. will they then start to generalise.",my gut says its good to be x curriculuar. teachers need evidence to make the effort. holy moly maybe i am wrong!,be able to say it is evidence based to work with only Scratch for example. teachers say children get bored. I think teachers dont have enough subject knowledge to truly teach coding concepts via scratch,roll it out to other teachers- I'll put in the work planning if they will deliver it,"children who struggle with generalisation are often the ones who struggle with coding- they are not quick to spot links, patterns, etc. making the ideas transparent and explicit seems a bit abstract but might help them to learn what other children seem to have absorbed intuitively",build in explicit teaching for those who need it to 'close the gap' .  with evidence teachers can be convinced of the worth of the effort.,persuade teachers to make this effort ,Is it better to teach one coding language so that children can grapple with new concepts rather than with new coding languages,what difference does it make to teach concepts unplugged alongside via coding on the computer,does it help to talk explicitly about concepts such as generalisation/ abstraction or pattern or debugging or sequence or conditional - the keywords from primary nc 2014,does explicit learning about spotting patterns actually help children to spot patterns,"does teaching a concept across the curriculum make it clearer and more accessible to children? sequence in lit, math, art, pe etc etc not just in computer ed.... does it need to happen at the same time or is it better to stagger so concepts are revisited throught the yera but in diff contexts/ subjects",2,2,TRUE,
112,"I see this subject as critical for opening options that are very valuable for most students, particularly for interdisciplinary work and truly IT-literature graduates.",I see the lack of awareness and valuing of human-centredness as a key problem for the way the IT world currently goes about creating new technology.,"I see this as a mindset issue and linked to taking personal responsibility for quality - and I see it as broad, including testing interfaces for usability, usefulness and user satisfaction, as well as the other end of the spectrum, from engineering tests....","We need ways to combine the deep teacher expertise of classic textbooks, with emerging technology methods such as AIED and ways to complement and adpat classic textbook material to match local needs and state-of-the-art ie recent tech.",0,Use it to inform changes in the way we teach at that level.,I would use this to inform changes to our teaching - and hopefully adopt methods for which we have evidence that they are effective.,Evidence about how to do this could inform curriculum design as well as providing off-the-shelf teaching methods.,I would like to work on this to provide better ways to teach my students and to collaborate with others who would like to share in doing that.,0,How can we increase the chances of success for every student in their first programming subject at university.,How can we help technically oriented computing students build strong awareness of the importance of human-centred approaches and HCI?,How to help students learn to design rigorous testing for IT.,How can we envisage a textbook of the future.,0,2,2,TRUE,
113,"I want a strong, cohesive theory that I can fit my teaching into.  That way, I can have a better understanding of how to construct sensible curricula, how to assess, and so on.  Right now, there is far too much trial-and-error and guesswork involved.","If computer scientists are born, then we should really work on finding a filter at the start and we should filter out the non-Computer-Scientists.  If they're made, then we should work on shaping different kinds of people into computer scientists.","Students need to learn how to learn CS, so we introduce them to some practical stuff (such as concrete languages) and some fundamental stuff (such as Big-O notation).  But what is really fundamental in the field?  What knowledge will they be able to leverage year after year, no matter where they end up in CS?  Where I am, the undergraduate curriculum is jam-packed.  But is it full of the RIGHT things?",0,0,"I'll use it to identify gaps in teaching, to improve my teaching, to compare curricula, and to frame teaching practices from other disciplines.",Figure out what to focus on in Computer Science education research.,Figure out how to construct curricula at the macro level.,0,0,"How, theoretically, is Computer Science constructed in a pedagogic sense?",Are computer scientists born or made?,What undergraduate curriculum will give students the best chance in a rapidly-changing world?,0,0,2,2,TRUE,
114,Be aware of how many students should give up. How to improve those %.,Wouldn't it be wonderful for anyone to have one?,0,0,0,Adapt!,Try it! Learn it! Use it!,0,0,0,"Among the classical computer science paradigms, all leave a % of the student aside. What is that % for structured programming, recursivity, Object Orientation, Pointers, Functional programming. Same thing for classical data structures. Same things for classical algorythms. ","Can a programming language be designed first as a usable language, understood by a majority of people? https://medium.com/bits-and-behavior/designing-learnable-teachable-and-productive-programming-languages-dagstuhl-trip-report-81e41bde84bd",0,0,0,2,2,TRUE,
115,"There are currently two entry points into the Computer Science major at the university where I am currently teaching: CS1 and CS2 . Students with little or no programming experience enroll in the CS1 course, everyone else is routed to the CS2 course. While all the students in the CS2 have taken some intro programming course, their level of experience varies significantly. I'd like to know how to best serve the majority of students in the class, without alienating those at the tail ends of the distribution.","I have observed this phenomenon occur in my class, and would like to know whether or not it is a systemic problem in CS1/CS2 classes?",0,0,0,The answer to this question will inform how I teach my CS2 class,I will talk to my class about the results from the research to bring more awareness about the issue,0,0,0,"What strategies (potentially among current ""active learning"" techniques) are most effective in early programming classes where there is a wide disparity in (programming) experience among students?","How likely are minority students to ask a question in class compared to the majority group in early CS classes ? How does class participation correlate with self-efficacy, and are there disparities based on gender? ",0,0,0,2,2,TRUE,
116," Giving feedback to students is the activity that takes most staff time in the courses I teach. Anything that makes it more effective, or frees up time for other activities, can therefore have a great impact on the quality of the students' learning. Immediate feedback may help performance in the moment, but more time to consider problems by themselves might be better for learning. "," Automated processes can generate some types of feedback, for example using unit tests and style checkers. This can save staff time and enable students to get feedback quickly (but see question 1) and at any time. However, it requires significant up-front effort to implement, which must be directed where it does the most good. I would like to reduce the staff time in our courses spent correcting and explaining code errors that could be detected automatically. However, I want to avoid replacing this with automated feedback that doesn't provide the same benefits, and am also concerned that giving instant feedback may sometimes encourage students to program by trial and error instead of understanding the problems and solutions. "," As per Q2, automatic (unit) tests can provide a type of rapid feedback that could be useful to novice programmers as well as to more experienced ones. I would like to know how best to introduce and use them. Do students use the instant results to programme by trial and error, and is this any different to an expert using test-driven design? The aim in teaching is different in that the goal is understanding and transfer to future tasks, rather than simply working code right now. Is this potential problem avoided if students write their own tests, which in itself requires more understanding? "," Assessment using an extended programming task or project is appealing in that it provides an ""authentic"" test of ability, and students find it enjoyable. However, it brings a high staff marking workload, and it is particularly hard to ensure fair and consistent marking: if students all have different projects then their work is hard to compare (and even more effort is needed to set the tasks) but if many students are carrying out the same task then it is hard to know how much of the work is the student's own. Currently we use ""mini-projects"" only in fairly small courses. ",0, Redesign courses to give more effective feedback. , Implement effective automatic feedback mechanisms in our courses. , Devise student tasks that use some combination of pre-written and student-written tests to generate feedback and teach good development practice. , Consider using more authentic extended tasks in assessment of our larger computing courses. ,0,How and when should students be given feedback on their code for the best effect on learning?," What types of feedback can be generated automatically, and how can this be made most useful? ", How can automated software tests be used effectively in teaching programming? , How can extended programming tasks be used in a large course? ,0,2,2,TRUE,
117,"I have been teaching workshops with the assumption that using participant code and data would improve participant learning, but it creates a heterogeneous room (so more chaos) so maybe it is not actually better for learning. ","Many workshops will include very diverse scientists in the room, and I need to make workshops that are meaningful to them all. Currently, my approach is to only teach things that do apply across disciplines, but this means not covering very important discipline specific topics.",There is not necessarily a correlation between those participants who I think have learned the most during a training and those who actually try something new afterwards. ,0,0,I will use the information to decide whether to return to example data and code in my workshops.,Apply the best approach to teaching a diverse room in the upcoming workshops.,"If I had a better sense of who has been motivated to try a skill following a training, I could improve my follow-up and allocated resources to them. ",0,0,How do learning outcomes differ when a participant uses example code and data versus using their own code and data?,What is the best approach to teaching an audience of different scientific disciplines and/or methods?,Is there a way to predict which participants will go on to apply a skill to their own research that can be measured during the training itself?,0,0,2,2,TRUE,
118,To inform my teaching of first year university univesity students,To inform my teaching,To inform my teaching,0,0,Use it in my teaching ,Use it in my teaching,Use it in my teaching,0,0,What is the best language/framework to use to introduce and teach object-oreinted programming to novice programmers?,What are the programming concepts that students find the most difficult and what are the most effective tools/techniques for teaching those concepts?,How do you instil students with the ability to achieve good software design? ,0,0,2,2,TRUE,
